question,ground_truth
"한국철도공사 예약발매시스템 개량 ISMP 용역’과 ‘부산관광공사 경영정보시스템 기능개선’의 기술성 평가 항목을 비교했을 때, 각 사업에서 가장 중요하게 평가하는 요소와 그 차이점은 무엇입니까?","한국철도공사’ 사업은 정보화전략계획(ISMP) 수립 용역의 특성상 ‘수행능력’ 부문의 ‘컨설팅 수행계획’ 항목에 30점이라는 가장 높은 배점을 부여하여 전략적 컨설팅 역량을 가장 중요하게 평가합니다. 반면 ‘부산관광공사’ 사업은 기존 시스템의 기능을 개선하는 것이 주된 목적으로, ‘기술 및 기능’ 부문의 ‘기능 요구사항’ 구현 방안에 8점의 배점을 부여하여 제안된 요구사항을 얼마나 정확히 구현하는지를 더 중요하게 평가합니다."
이러닝시스템 운영 용역의 사업 목적은 무엇입니까?,"비대면 교육 수요 충족, 직원 역량 강화, 현업 문제해결 능력 향상, 이러닝 시스템을 통한 상시 학습 활성화 및 효율화를 목적으로 합니다."
국민연금공단2024년 이러닝시스템 운영 용역에서 신규로 개발해야 할 직무 콘텐츠는 총 몇 차시입니까?,직무 콘텐츠 60차시와 부서별 필수 콘텐츠 10차시를 합하여 총 70차시를 신규 개발해야 합니다.
국민연금공단2024년 이러닝시스템 운영 용역 사업의 고도화의 세부 내용 중 '큐레이션 서비스'는 어떻게 운영되어야 합니까?,"빅데이터를 활용하여 학습자의 관심분야 및 인기 콘텐츠를 추천하고, 학습자의 학습 데이터를 바탕으로 직무 및 자기개발 맞춤형 콘텐츠를 추천하는 방식으로 상시 운영되어야 합니다."
국민연금공단2024년 이러닝시스템 운영 용역사업의 기술성 평가를 수행할 평가위원의 명단이 공개되어 있습니까?,"아니요, 제안요청서에 따르면 공정성과 신뢰성을 기하기 위해 기술성 평가위원회를 구성하여 평가하며, 평가위원의 명단은 공개하지 않는다고 명시되어 있습니다."
국민연금공단 이러닝시스템 운영 용역'과 '대한장애인체육회 전국장애인체육대회 전산 유지·보수 용역'의 하도급 정책을 비교하여 설명해주십시오.,"가장 큰 예산의 사업은 '국민연금공단 2024년 이러닝시스템 운영 용역'으로 총 773,801,000원입니다. 가장 작은 예산의 사업은 '부산관광공사 경영정보시스템 기능개선' 용역으로 총 109,000,000원입니다."
국민연금공단2024년 이러닝시스템 운영 용역 사업의 추진 근거가 되는 공문은 무엇입니까?,보건복지부 국민연금정책과-948(2023.12.29.)호와 보험료지원부-547(2024.3.7.)호입니다.
국민연금공단2024년 이러닝시스템 운영 용역 사업의 사업 기간은 며칠 이내입니까?,계약체결일로부터 180일 이내입니다.
국민연금공단2024년 이러닝시스템 운영 용역 사업의 체납처분 시스템 고도화의 주요 개발 내용에는 무엇이 포함됩니까?,"고시 개정 및 지원 종류 확대에 따른 체납처분 프로그램 보완, 체납처분 종합원부 프로그램 개발 및 보완, 환수금 시효완성 예정 사업장 명부 프로그램 개발 및 보완, 재산 조사, 납부독려관리, 체납처분 승인 관리시스템 개발 및 보완 등이 포함됩니다."
국민연금공단2024년 이러닝시스템 운영 용역 사업의 개발 언어나 사용 프레임워크에 대한 명시적인 제약사항이 있습니까?,"제안요청서 내에 개발 언어나 사용 프레임워크에 대한 명시적인 제약사항은 언급되어 있지 않습니다. 다만 이는 추론에 해당하며, 실제로는 공단의 기존 시스템 현황을 고려해야 할 것으로 판단됩니다."
"동일한 발주기관(국민연금공단)의 사업임에도 불구하고, '사업장 사회보험료 지원 시스템 보완 개발'과 '2024년 이러닝시스템 운영 용역' RFP는 하도급(subcontracting) 정책에 있어 어떤 차이점을 보입니까?","사업장 사회보험료 지원 시스템 보완 개발' RFP에서는 ""공동수급을 허용하고 있어 하도급은 불허함""이라고 명시하여 원칙적으로 하도급을 금지하고 있습니다. '2024년 이러닝시스템 운영 용역' RFP에서는 ""하도급 계약 시 공단의 사전승인""을 받고 ""하도급 비율이 50%를 초과하지 않는"" 조건 하에 하도급을 허용하고 있습니다.  "
