id,question,ground_truth
16,국민연금공단 〈2024년 이러닝시스템 운영 용역〉 사업의 총 사업금액은 얼마입니까?,"사업예산은 773,801천원이며, 교육과정 운영 620,801천원, 콘텐츠 개발·관리 및 시스템 임대 153,000천원으로 구성됨."
17,국민연금공단 〈2024년 이러닝시스템 운영 용역〉 사업 내용을 요약해 주세요.,"목적은 비대면 교육 수요 충족과 직원 역량 강화이며, 범위는 직무·자기개발 콘텐츠 개발, 사이버연수원 운영, 학습관리시스템 임대, 개인정보보호 및 보안 관리 등을 포함함."
18,국민연금공단 〈2024년 이러닝시스템 운영 용역〉에서 내부 콘텐츠와 외부 콘텐츠의 차이는 무엇입니까?,"내부 콘텐츠는 공단 소유 콘텐츠(예: 직무교육, 개인정보보호, 정보보안 등)로 관리·업데이트가 필요하며, 외부 콘텐츠는 2021년 이후 개발되고 만족도 4.0 이상인 최신 버전을 제시해야 함."
19,국민연금공단 〈2024년 이러닝시스템 운영 용역〉과 비슷한 사업 추천해 주세요.,"문서 내 직접 추천은 없으나, 4차 산업혁명 관련 콘텐츠(인공지능, 빅데이터, VR/AR 등) 및 K-MOOC·KOCW 연계 교육 사업이 유사 사업으로 참고 가능함."
20,국민연금공단 〈2024년 이러닝시스템 운영 용역〉의 기능 요구사항은 어떤 것들이 있나요?,"주요 기능 요구사항에는 사이버(모바일) 연수원 구축(SFR-002), 큐레이션 서비스(SFR-004), 소셜러닝(SFR-005), 나의 학습노트(SFR-006), 직무지식진단(SFR-007), 역량진단(SFR-008) 등이 있음."
21,국민연금공단 「사업장 사회보험료 지원 고시 개정에 따른 정보시스템 보완」 사업의 총 예산은 얼마인가요?,"본 사업의 사업예산은 **금 109,000,000원(금일억구백만원, 부가세 포함)**으로 책정되어 있음."
22,국민연금공단이 추진하는 「사업장 사회보험료 지원 고시 개정에 따른 정보시스템 보완」 사업의 주요 과업 내용을 요약해줘.,주요 과업은 ▲「사회보험료 지원 고시 개정」 반영을 위한 시스템 기능 보완 ▲지원 대상자 판정 로직 수정 ▲기존 전산 모듈의 오류 개선 및 운영 안정화 지원임.
23,국민연금공단의 「사업장 사회보험료 지원 고시 개정에 따른 정보시스템 보완」 사업과 기존 사회보험 정보시스템 사업의 차이를 비교해줘.,"기존 시스템은 사회보험료 지원 관리 전반을 다루었으나, 본 사업은 고시 개정사항 반영 및 판정로직 보완 등 특정 기능 개선과 안정화에 초점을 맞추고 있음."
24,국민연금공단의 「사업장 사회보험료 지원 고시 개정에 따른 정보시스템 보완」과 유사한 정보시스템 개선 사업을 추천해줄래?,"유사 사업으로는 타 공공기관 사회보장·복지 정보시스템 기능 개선 사업(예: 건강보험공단 자격관리 시스템 보완, 고용보험 지원금 관리 시스템 개선 등)이 참고 가능함."
25,국민연금공단의 「사업장 사회보험료 지원 고시 개정에 따른 정보시스템 보완」 사업에서 제안 자격은 어떻게 되나요?,"제안 자격은 「국가를 당사자로 하는 계약에 관한 법률 시행령」 제12조 요건을 충족한 업체로서, 공고일 현재 부정당업자 제재를 받지 아니한 자임."
