question_id,document_id,question_type,question,answer_extractive,ground_truth
Q001,RFP-2024-BTOUR-MIS-01,Default QA,부산관광공사 경영정보시스템 기능개선 사업의 총 사업금액은 얼마입니까? (제안 사업기관: 부산관광공사),"다. 사업금액: 금109,000,000원(금일억구백만원), 부가가치세 포함 ","이 사업의 총 사업금액은 109,000,000원이며 부가가치세가 포함되어 있습니다."
Q002,RFP-2024-BTOUR-MIS-01,Default QA,부산관광공사 경영정보시스템 기능개선 사업의 수행 기간은 계약일로부터 며칠입니까? (제안 사업기관: 부산관광공사),나. 사업기간: 계약일로부터 90일 ,이 사업의 수행 기간은 계약일로부터 90일입니다.
Q003,RFP-2024-BTOUR-MIS-01,Summarization,부산관광공사 경영정보시스템 기능개선 사업의 주요 기대효과를 요약해 주세요. (제안 사업기관: 부산관광공사),가. 업무환경 변화에 따른 사용자 요구사항의 적극 반영 나. 수작업량 최소화로 업무 편리성 및 자료 관리 향상 다. 업무환경에 맞는 경영정보시스템 운영과 관리 효율성 향상 ,"주요 기대효과는 '사용자 요구사항의 적극 반영', '수작업 최소화에 따른 업무 편리성과 자료 관리 향상', '업무환경에 적합한 운영과 관리 효율성 향상'입니다."
Q004,RFP-2024-BTOUR-MIS-01,Comparison,전자결재 '대결 기능 개선'에서 '협조 처리 가능'과 '대결 기간 일자별 설정' 요구사항을 비교해 주세요. (제안 사업기관: 부산관광공사),"전자결재 협조처리 - 전자결재문서 처리에 있어 현행 대결자가 ‘결재’행위만 가능하나, ‘협조’ 문서에 대해서도 협조처리를 할 수 있도록 기능 개선 - 대결자의 대결설정 기간에 따라, 결재, 협조가 가능하게 하며 기간 경과 시 자동으로 해제토록 구현한다. 대결기간 설정 - 대결 기간 설정 시 일자별로 2회 이상 설정이 가능토록 개선 ","대결 기능은 대결자에게 '협조' 처리 권한을 부여하고 기간 내 결재·협조가 가능하도록 하며, 별도로 대결 기간을 일자별로 2회 이상 설정할 수 있도록 개선됩니다."
Q005,RFP-2024-BTOUR-MIS-01,Recommendation,사용자 교육 지원을 위해 제안사가 제시해야 할 핵심 실행 항목은 무엇입니까? (제안 사업기관: 부산관광공사)," 발주기관과 협의하에 교육 계획수립 및 결과보고서 제출 - 교육 실적, 건의사항에 대한 개선방안 분석 포함 교육수행결과보고 제출  교육과정 - 업무분야별, 담당 업무수행 기간별 교육과정을 구분하여 체계적 관리 ※ 발주기관이 현장교육 장소 등 제반사항을 준비할 경우 교육계획 수립 및 교육실시  교육교재 및 콘텐츠 - 집합교육 및 온․오프라인 교육에 활용이 가능하도록 매뉴얼 및 문서 자료 현행화 (기능개선, 시스템 변경 등) - 업무별 최적화된 기능에 대한 중점교육 매뉴얼 ","제안사는 '교육 계획 수립 및 결과보고', '업무분야·기간별 체계적 교육과정 관리', '온·오프라인 교육용 매뉴얼과 문서 자료의 현행화 및 중점교육 매뉴얼 제공'을 제시해야 합니다."
Q001,RFP-2024-NPS-ELN-01,Default QA,"국민연금공단 RFP 기준으로, 이번 이러닝시스템 운영 사업의 총 예산은 얼마입니까? (제안 사업기관: 국민연금공단)","계 금 773,801천원 ㆍ공단 소유 콘텐츠・외부콘텐츠 등 교육과정 운영 금 620,801천원 ㆍ콘텐츠 개발・관리, 학습관리시스템 및 각종 서버 임대 등 금 153,000천원 국민연금공단_2024년 이러닝시스템 운영 용역 ","이 사업의 총 예산은 773,801천원이며, 교육과정 운영 620,801천원과 콘텐츠 개발·관리 및 서버 임대 153,000천원으로 구성되어 있습니다."
Q002,RFP-2024-NPS-ELN-01,Default QA,국민연금공단 RFP에 따르면 이러닝시스템 운영 사업의 기간은 언제까지입니까? (제안 사업기관: 국민연금공단),□ 사업기간: 계약체결일로부터 2025. 2월까지 국민연금공단_2024년 이러닝시스템 운영 용역 ,이 사업의 수행 기간은 계약체결일로부터 2025년 2월까지입니다.
Q003,RFP-2024-NPS-ELN-01,Summarization,국민연금공단 RFP에 제시된 이러닝시스템 운영 사업의 목적을 요약해 주세요. (제안 사업기관: 국민연금공단),□ 비대면(온택트) 교육수요에 따른 니즈 충족 □ 직급별 필요 역량진단* 및 맞춤형 교육 제공으로 직원 역량 강화 □ 현업 문제해결 능력 향상을 위한 직무 및 부서별 콘텐츠 개발 □ 이러닝 시스템 운영을 통한 상시 학습 활성화․효율화 국민연금공단_2024년 이러닝시스템 운영 용역 ,"이 사업은 비대면 교육 수요를 충족하고, 역량진단 기반 맞춤형 교육을 제공하며, 직무·부서별 콘텐츠 개발과 안정적인 이러닝 운영을 통해 임직원의 역량을 강화하는 것을 목적으로 합니다."
Q004,RFP-2024-NPS-ELN-01,Comparison,국민연금공단 RFP에서 '외부콘텐츠 제시 기준'과 '내부(공단 보유) 콘텐츠 관리' 요구사항을 비교해 주세요. (제안 사업기관: 국민연금공단),FUR-004 외부콘텐츠 제시 기준 … 2021년 1월 1일 이후 개발된 콘텐츠 중 만족도 4.0이상(5점척도)인 콘텐츠 및 최신 개정 내용‧버전이 반영된 콘텐츠 제공… 공단 역량모델 체계와 연관된 직급별 콘텐츠 제시 국민연금공단_2024년 이러닝시스템 운영 용역 기 개발된 공단 콘텐츠의 적기 업데이트로 지속적인 콘텐츠 품질 제고 국민연금공단_2024년 이러닝시스템 운영 용역 ,"외부콘텐츠는 2021년 이후 개발, 만족도 4.0 이상, 최신 개정 반영 등 품질 기준을 충족해야 하며, 내부 콘텐츠는 기 보유 과정을 적시에 업데이트하여 품질을 지속적으로 관리해야 합니다."
Q005,RFP-2024-NPS-ELN-01,Recommendation,국민연금공단 RFP에서 제시한 학습참여 유도 방안(LMR-002)을 충족하기 위해 제안사가 어떤 전략을 제시해야 합니까? (제안 사업기관: 국민연금공단),"LMR-002 학습참여 유인체계 제시 국민연금공단_2024년 이러닝시스템 운영 용역 학습자 독려, 진도관리, 수료율 제고를 위한 방안 제시 국민연금공단_2024년 이러닝시스템 운영 용역 ","제안사는 학습자 독려, 진도 관리, 수료율 제고를 위한 구체적 유인 전략을 제시해야 합니다."
Q006,RFP-2024-NPS-01,Simple_Fact,국민연금공단 사업장 사회보험료 지원 고시 개정에 따른 정보시스템 보안 개발 사업의 총 사업 금액은 얼마입니까?,"3. 사업 금액: 415,977,877원(부가가치세 포함)","이 사업의 총 사업 금액은 부가가치세를 포함하여 415,977,877원입니다."
Q007,RFP-2024-NPS-01,List_Summary,국민연금공단 사업장 사회보험료 지원 고시 개정에 따른 정보시스템 보안 개발 사업의 사업장 지원 확대에 따른 체납처분 시스템 고도화의 주요 개발 내용에는 무엇이 포함됩니까?,"- 고시 개정 및 지원 종류 확대에 따른 체납처분 프로그램 보완 - 체납처분 종합원부(환수, 체납처분, 결손처분내역) 프로그램 개발 및 보완 - 미납자 프로그램 보완개발 - 환수금 시효완성 예정 사업장 명부 프로그램 개발 및 보완 - 재산 조사, 납부독려관리, 체납처분 승인 관리시스템 개발 및 보완 - 압류 등 집행/해제관리, 개인회생관리, 법원경매관리, 배분금전 관리, 부동산압류, 자동차 전자촉탁, 예금채권관리 등 프로그램 개발 및 보완","체납처분 시스템 고도화에는 고시 개정에 따른 프로그램 보완, 체납처분 종합원부 개발, 미납자 프로그램 보완, 환수금 시효완성 예정 사업장 명부 개발, 재산 조사 및 납부독려 관리 시스템 개발, 그리고 압류 및 집행 관련 프로그램 개발 등이 포함됩니다."
Q008,RFP-2024-NPS-01,Yes_No,국민연금공단 사업장 사회보험료 지원 고시 개정에 따른 정보시스템 보안 개발 사업은 하도급을 허용합니까?,○ 본 사업은 공동수급을 허용하고 있어 하도급은 불허함,"아니오, 이 사업은 하도급을 허용하지 않습니다."
Q009,RFP-2024-NPS-01,Negative,국민연금공단 사업장 사회보험료 지원 고시 개정에 따른 정보시스템 보안 개발 사업의 PM(Project Manager)은 누구입니까?,,문서 내에서 관련 정보를 찾을 수 없음.
Q010,RFP-2024-NPS-01,Simple_Fact,국민연금공단 사업장 사회보험료 지원 고시 개정에 따른 정보시스템 보안 개발 사업의 사업 기간은 얼마나 됩니까?,2. 사업 기간: 계약체결일로부터 180일 이내,이 사업의 기간은 계약체결일로부터 180일 이내입니다.
